period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
original,T4,109_2,1461,15,5.59614794060028,6.099719713473849,5.784090909562622,30,179.54696516757295,0.00622255706238353
1_month_shifted,T1,109_2,365,14,6.387519049471891,7.8094429835529375,6.953495003869554,28,128.2935800815638,0.4263936448672119
1_month_shifted,T2,109_2,731,14,6.1895988311143375,7.013627799742722,6.507801409739358,28,140.90568588473042,0.17209498989624608
1_month_shifted,T3,109_2,1096,14,5.727252223006246,6.322208554620916,5.952520561020683,28,133.66327470007178,0.3032447827165861
1_month_shifted,T4,109_2,1461,14,5.389248714670308,5.859978850182558,5.5649345334829325,28,146.13745411240419,0.10599433525698691
2_month_shifted,T1,109_2,365,7,6.416084742949986,7.143580709224009,6.7056538358976265,10,20.809799381161096,0.7951154232589943
2_month_shifted,T2,109_2,731,7,5.93986583888194,6.361462055389485,6.102667158178462,10,32.22420954089092,0.22388221987692103
2_month_shifted,T3,109_2,1096,14,5.552156049871181,6.147112381485851,5.777424387885618,28,132.72535592878086,0.32341344704101077
2_month_shifted,T4,109_2,1461,14,5.252871893786176,5.7236020292984255,5.4285577125988,28,147.30519670433543,0.09432387893136486
3_month_shifted,T1,109_2,365,7,6.469814983571707,7.197310949845731,6.759384076519348,10,20.16462324461797,0.8237770511325024
3_month_shifted,T2,109_2,731,14,6.029324230176434,6.853353198804819,6.3475268088014545,28,126.38626283391356,0.4735660157540893
3_month_shifted,T3,109_2,1096,14,5.584738715944802,6.179695047559472,5.8100070539592386,28,127.82048887806208,0.4379794455488661
3_month_shifted,T4,109_2,1461,14,5.258989751206629,5.729719886718879,5.4346755700192535,28,142.70813701555838,0.14666261534543693
original,T1,109_3,365,11,2.5447684252099543,3.669080373087991,2.992284296129036,22,83.50699101667517,0.867856950357064
original,T2,109_3,731,10,2.8327373683824226,3.4268047643703277,3.0621392273911576,20,85.7428332626051,0.6073970965696
original,T3,109_3,1096,10,2.6896914421057607,3.118613448618662,2.8520941974184937,20,77.49854478074069,0.8234269777701858
