,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2016-07-15,6,3.0147397097421877,4
2016-07-16,2,0.01665985716406282,0
2016-07-17,0,-0.6807083128593744,0
2016-07-18,3,6.594791848750001,10
2016-07-19,8,1.9875615297031253,10
2016-07-20,1,7.129809542314063,8
2016-07-21,1,8.672092900257812,7
2016-07-22,0,9.280457040293749,7
2016-07-23,0,-1.035767108456251,0
2016-07-24,0,-1.2289480606593746,0
2016-07-25,4,5.180400236214064,4
2016-07-26,0,8.777489620140626,5
2016-07-27,0,13.224186648201563,4
2016-07-28,2,6.505421088267187,5
2016-07-29,10,7.71795837830625,7
2016-07-30,0,-2.3361591647812503,0
2016-07-31,0,-1.3585327659109359,0
2016-08-01,3,2.080705094964064,4
2016-08-02,0,5.982547221906252,3
2016-08-03,9,1.572892698378126,3
2016-08-04,18,9.840523388156251,2
2016-08-05,5,22.18047793232031,3
2016-08-06,1,-2.344760552979689,0
2016-08-07,0,-1.791779312859375,1
2016-08-08,2,5.8699470737500015,1
2016-08-09,5,11.452468899703128,1
2016-08-10,7,3.7072975250328133,0
2016-08-11,1,12.073967384451564,2
2016-08-12,2,2.4050037767203127,3
2016-08-13,1,-0.015550336520311347,0
2016-08-14,1,-1.4607676113781236,0
2016-08-15,0,8.124363611214065,2
2016-08-16,3,9.423884682640626,4
2016-08-17,8,9.939080860545314,5
2016-08-18,3,8.628549728939062,2
2016-08-19,1,7.594395496315625,0
2016-08-20,5,-1.3969511430812496,0
2016-08-21,1,-1.468323251210936,0
2016-08-22,1,4.987888391178127,7
2016-08-23,3,5.621501124109377,3
2016-08-24,9,6.389422391504689,1
2016-08-25,1,7.237025332167188,1
2016-08-26,1,5.0863883513968755,0
2016-08-27,0,-0.7735022043015622,0
2016-08-28,0,-1.122146163374999,0
2016-08-29,0,7.273508382464064,9
2016-08-30,0,4.641449898156251,5
2016-08-31,0,4.581941261175,7
2016-09-01,1,8.558567424373438,7
2016-09-02,0,4.149576476321875,2
2016-09-03,0,-0.6275705601828123,0
2016-09-04,0,-1.0493318807671868,0
2016-09-05,0,-0.6954459975359361,2
2016-09-06,0,-0.5357232566249983,0
2016-09-07,0,3.5598539991187512,2
2016-09-08,0,7.286171219190626,2
2016-09-09,0,13.794199564628125,2
2016-09-10,0,-2.1264920997031265,0
2016-09-11,0,-1.04561142823125,0
2016-09-12,0,8.334334147464062,3
2016-09-13,32,5.608480450000001,2
2016-09-14,8,5.5035778650000005,6
2016-09-15,0,9.4040469904375,9
2016-09-16,20,12.92299014198125,10
2016-09-17,3,-1.6949037655218753,12
2016-09-18,1,-1.5903956505390617,0
2016-09-19,10,5.995417896250002,4
2016-09-20,9,15.528373471609378,5
2016-09-21,9,9.357580374817188,6
2016-09-22,1,14.374152244889062,0
2016-09-23,5,2.7872516328265617,0
2016-09-24,1,-0.4180855193796864,0
2016-09-25,3,-0.7041199385546859,0
2016-09-26,15,13.784527561214066,6
2016-09-27,14,9.586525072640626,10
2016-09-28,12,6.380142643482813,9
2016-09-29,5,3.5544388394515627,7
2016-09-30,13,5.970611995803126,3
2016-10-01,6,-0.051741026204686236,0
2016-10-02,4,-0.38841712499687353,0
2016-10-03,7,8.962258638162501,4
2016-10-04,2,9.23249348472969,3
2016-10-05,1,6.831623114523438,7
2016-10-06,9,5.9083446749281245,2
2016-10-07,9,4.010685104082813,7
2016-10-08,1,-0.7672440243406242,0
2016-10-09,6,-1.1902880175687487,0
2016-10-10,19,2.191564131912502,1
2016-10-11,9,7.074020246057814,9
2016-10-12,28,2.5532576652187506,1
2016-10-13,15,12.792159409964063,5
2016-10-14,4,8.898152133051562,5
2016-10-15,1,2.8066553553687497,0
2016-10-16,5,1.29496853426875,0
2016-10-17,2,10.660781958714063,7
2016-10-18,11,7.899475440953125,5
2016-10-19,2,8.763517228267188,9
