,apache/commons-io,google/guava,apache/commons-lang
2012-03-06,9,6,0
2012-03-07,3,2,0
2012-03-08,0,3,4
2012-03-09,0,1,0
2012-03-10,0,0,0
2012-03-11,0,0,2
2012-03-12,4,4,1
2012-03-13,20,10,0
2012-03-14,4,4,0
2012-03-15,0,0,1
2012-03-16,3,13,1
2012-03-17,3,0,1
2012-03-18,8,0,0
2012-03-19,3,3,0
2012-03-20,4,1,0
2012-03-21,0,0,0
2012-03-22,22,7,0
2012-03-23,5,0,0
2012-03-24,0,10,0
2012-03-25,0,0,0
2012-03-26,5,0,0
2012-03-27,1,18,0
2012-03-28,0,0,0
2012-03-29,3,12,0
2012-03-30,12,6,0
2012-03-31,0,0,0
2012-04-01,4,0,0
2012-04-02,0,4,0
2012-04-03,0,3,0
2012-04-04,1,3,0
2012-04-05,2,2,9
2012-04-06,9,4,2
2012-04-07,0,0,0
2012-04-08,0,0,0
2012-04-09,2,0,0
2012-04-10,9,12,0
2012-04-11,0,0,0
2012-04-12,0,0,0
2012-04-13,0,8,0
2012-04-14,0,0,0
2012-04-15,0,0,0
2012-04-16,17,2,0
2012-04-17,0,0,0
2012-04-18,1,1,0
2012-04-19,0,0,0
2012-04-20,0,0,0
2012-04-21,0,0,0
2012-04-22,0,0,0
2012-04-23,0,3,0
2012-04-24,0,2,5
2012-04-25,0,2,0
2012-04-26,0,0,0
2012-04-27,0,4,0
2012-04-28,0,0,0
2012-04-29,0,0,0
2012-04-30,0,0,0
2012-05-01,0,0,0
2012-05-02,0,0,0
2012-05-03,0,0,0
2012-05-04,0,0,0
2012-05-05,0,0,0
2012-05-06,0,0,0
2012-05-07,0,0,0
2012-05-08,0,27,0
2012-05-09,0,0,0
2012-05-10,0,0,0
2012-05-11,0,10,0
2012-05-12,0,0,0
2012-05-13,0,0,0
2012-05-14,0,0,0
2012-05-15,0,0,0
2012-05-16,0,0,0
2012-05-17,0,0,0
2012-05-18,0,0,0
