,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2018-06-15,5.110578995199999,0,0
2018-06-16,-1.7720895487999997,0,0
2018-06-17,-0.8846934016000004,0,0
2018-06-18,0.4362111999999996,0,0
2018-06-19,2.37426688,0,0
2018-06-20,1.9788974080000004,0,0
2018-06-21,-1.1717151743999996,2,0
2018-06-22,3.4060235776,1,0
2018-06-23,0.8433377280000003,1,0
2018-06-24,-0.9926529024,3,0
2018-06-25,8.49317888,0,0
2018-06-26,5.843145728,4,0
2018-06-27,3.4042433536,0,0
2018-06-28,1.5146416127999993,2,0
2018-06-29,2.8876274687999994,0,0
2018-06-30,3.8019717119999994,0,0
2018-07-01,0.5395999743999997,0,0
2018-07-02,0.051674419199999155,0,0
2018-07-03,2.414380032,0,0
2018-07-04,-1.8438813695999996,5,0
2018-07-05,-1.0259479552,2,0
2018-07-06,3.3246186496,4,0
2018-07-07,-1.2701346815999996,0,0
2018-07-08,-0.6624547839999999,1,0
2018-07-09,-0.4255478783999998,1,0
2018-07-10,-0.2682903551999999,3,0
2018-07-11,4.8153664512,0,0
2018-07-12,0.8684073984000003,0,0
2018-07-13,1.1322931199999997,0,0
2018-07-14,-0.857550848,0,0
2018-07-15,-0.47387740160000014,0,0
2018-07-16,1.7091199999999998,4,0
2018-07-17,3.379584,1,0
2018-07-18,3.8634367999999997,1,2
2018-07-19,0.43735040000000014,6,0
2018-07-20,16.815824384,10,0
2018-07-21,-4.2391861248,4,0
2018-07-22,-0.8719403008000013,11,0
2018-07-23,1.6255513599999991,6,0
2018-07-24,9.465501696,2,0
2018-07-25,-1.1556287487999994,3,0
2018-07-26,4.0190121984,2,2
2018-07-27,0.5898608639999998,0,3
2018-07-28,-1.9265543167999994,0,0
2018-07-29,1.8212425728000001,0,0
2018-07-30,2.713443328,1,0
2018-07-31,0.4232999935999999,0,0
2018-08-01,-1.2927071231999996,0,0
2018-08-02,0.21841500160000005,3,0
2018-08-03,0.3309468672000002,0,0
2018-08-04,-0.6286096383999997,0,0
2018-08-05,-0.3489754112000001,0,0
2018-08-06,1.766672384,3,0
2018-08-07,0.41205166080000044,0,0
2018-08-08,1.5153823744000001,0,0
2018-08-09,4.3617057792,1,0
2018-08-10,1.693485568,0,0
2018-08-11,-1.2075290624000004,4,0
2018-08-12,0.3739370495999996,7,0
2018-08-13,-0.6173542400000002,3,0
2018-08-14,-0.3950397440000001,14,0
2018-08-15,3.7000681472,7,0
2018-08-16,-1.0207647743999997,0,0
2018-08-17,1.5068065792,0,0
2018-08-18,-0.7179386879999997,1,0
2018-08-19,-0.34873477120000007,0,0
2018-08-20,1.787468288,0,0
2018-08-21,-0.5613845503999999,6,0
2018-08-22,-0.2787788800000002,3,1
2018-08-23,-0.19440844799999984,0,0
2018-08-24,1.8490691584,4,1
2018-08-25,0.5201525760000002,4,0
2018-08-26,-0.4257963008000001,0,0
2018-08-27,-0.20985344000000017,3,0
2018-08-28,1.856024576,0,1
2018-08-29,0.4903892992000001,3,0
2018-08-30,-0.42639360000000015,1,0
2018-08-31,0.7697177599999998,5,0
2018-09-01,0.6390978560000001,5,0
2018-09-02,-0.40399841279999993,1,0
2018-09-03,1.7931370495999999,9,1
2018-09-04,-0.53588224,3,0
2018-09-05,-0.26483814400000005,2,0
2018-09-06,1.8187087872,2,1
2018-09-07,0.4829751296000001,7,2
2018-09-08,1.5576135679999998,0,0
2018-09-09,2.3562853376,8,0
2018-09-10,0.07847720959999993,0,1
2018-09-11,3.350552576,6,2
2018-09-12,-0.18253230079999994,0,0
2018-09-13,1.2258457599999997,0,69
2018-09-14,1.1312322559999999,1,2
2018-09-15,-0.9024022528000001,1,0
2018-09-16,-0.5041977344000002,0,0
2018-09-17,2.6445202432,0,0
2018-09-18,-0.8582034431999999,5,1
2018-09-19,-0.41887651839999995,1,0
2018-09-20,-0.28297615359999995,2,3
2018-09-21,0.8241017856000001,4,1
2018-09-22,0.6696778752000002,0,0
2018-09-23,1.6337748992,2,0
2018-09-24,1.42121984,0,1
2018-09-25,-0.6847631359999999,0,4
2018-09-26,6.6474559488,4,7
2018-09-27,9.3908352,0,0
2018-09-28,0.08437247999999986,0,1
2018-09-29,-1.9392440320000008,3,0
2018-09-30,-0.10476810240000045,0,0
2018-10-01,6.0325497856,1,0
2018-10-02,0.9415882752,1,1
2018-10-03,0.3472494591999995,0,0
2018-10-04,-0.357794304,1,3
2018-10-05,1.9389335552000007,0,7
2018-10-06,-1.2563067903999996,0,0
2018-10-07,-0.6291443712000003,0,0
2018-10-08,2.577166848,0,1
2018-10-09,5.0688429056,0,0
2018-10-10,-1.7013388287999995,0,1
2018-10-11,2.2316034047999995,0,0
2018-10-12,-1.0789065728,0,1
2018-10-13,-0.5738404864000001,0,0
2018-10-14,2.6040895487999998,0,0
2018-10-15,-0.87415296,1,0
2018-10-16,4.538668544,0,0
2018-10-17,5.670979276800001,2,1
2018-10-18,15.9736037376,3,0
2018-10-19,-4.519771135999999,3,0
2018-10-20,0.9573055487999982,0,0
2018-10-21,-1.8776601600000007,0,0
2018-10-22,-0.16885913600000046,1,1
2018-10-23,-1.0686912512000002,3,0
2018-10-24,1.261056,9,2
2018-10-25,2.007650304,1,2
2018-10-26,1.7988493312000013,0,0
2018-10-27,-1.2367644671999996,0,0
2018-10-28,-0.5147919360000002,4,0
2018-10-29,0.6497932287999999,3,0
2018-10-30,3.5673466879999998,0,0
2018-10-31,1.9357828096,1,0
2018-11-01,3.891158016,0,0
2018-11-02,0.4155180032000001,4,2
2018-11-03,-1.1845071872000001,5,0
2018-11-04,0.3392191487999997,6,0
2018-11-05,-0.6392499200000001,3,0
2018-11-06,1.5817390079999998,7,0
2018-11-07,1.2779836416,0,2
2018-11-08,1.1878682624000003,9,0
2018-11-09,4.1752639488000005,0,0
2018-11-10,-0.4347509759999997,0,0
2018-11-11,-0.8561374208000003,0,0
2018-11-12,0.5064826879999997,0,1
