,elastic/kibana,grafana/grafana,getsentry/sentry
2022-12-20,32,30,17.59376384
2022-12-21,37,31,24.631555072000005
2022-12-22,30,23,12.204608921600006
2022-12-23,10,11,-22.573194547199996
2022-12-24,1,0,-11.000135270400001
2022-12-25,2,1,-6.310831308800003
2022-12-26,5,5,-4.140710707200003
2022-12-27,13,6,-0.09691033600000054
2022-12-28,12,5,0.3363388416000004
2022-12-29,21,12,-2.7340755967999986
2022-12-30,9,4,0.7801767936000004
2022-12-31,1,0,-2.2046432256
2023-01-01,1,0,-0.7058523136000002
2023-01-02,3,7,-0.42229760000000016
2023-01-03,37,21,33.69828352
2023-01-04,54,31,19.168231424000002
2023-01-05,34,22,21.5337225216
2023-01-06,2,21,28.142539980800002
2023-01-07,1,2,-18.264665292799997
2023-01-08,1,0,-14.925562470400003
2023-01-09,43,25,54.2084352
2023-01-10,43,36,7.929487360000003
2023-01-11,35,32,48.429312512
2023-01-12,38,38,5.372592332800011
2023-01-13,26,44,23.0272280576
2023-01-14,2,1,-33.5184433152
2023-01-15,5,0,-16.441359360000003
2023-01-16,21,25,13.546842111999997
2023-01-17,44,39,21.259480575999998
2023-01-18,45,37,16.500318822400004
2023-01-19,39,38,11.268749721600006
2023-01-20,6,26,8.431607296000003
2023-01-21,0,2,-21.173523865599996
2023-01-22,2,1,-12.534620774400002
2023-01-23,36,48,41.022036992
2023-01-24,52,35,17.8873918464
2023-01-25,43,44,4.6884587520000025
2023-01-26,41,57,26.745886412800004
2023-01-27,49,60,4.759736115200003
2023-01-28,4,1,-26.2591581184
2023-01-29,3,0,-11.558375936000003
2023-01-30,56,54,32.8540540928
2023-01-31,49,43,22.835503104
2023-02-01,56,39,22.583181209600006
2023-02-02,59,47,27.830410342400008
2023-02-03,12,38,4.642501939200002
2023-02-04,3,0,-29.29483776
2023-02-05,1,0,-13.634751488000004
2023-02-06,53,26,31.694348799999997
2023-02-07,75,41,26.995054080000003
2023-02-08,59,26,9.949519360000004
2023-02-09,65,27,5.640278732800006
2023-02-10,46,25,38.056073420800004
2023-02-11,4,3,-33.259372134399996
2023-02-12,1,2,-15.407657984000002
2023-02-13,36,2,60.1942546432
2023-02-14,44,4,18.19683328
2023-02-15,57,0,22.1794304
2023-02-16,55,4,7.583051468800008
2023-02-17,4,1,14.256098508800008
2023-02-18,1,1,-33.3261487104
2023-02-19,1,0,-12.779315814400004
2023-02-20,20,15,-9.815761510400002
2023-02-21,68,16,27.199959551999996
2023-02-22,55,27,29.153953996800002
2023-02-23,42,33,12.235000934400006
2023-02-24,44,24,1.1571315712000043
2023-02-25,2,0,-19.287763763199997
2023-02-26,4,0,-10.189422489600002
2023-02-27,47,20,36.160843776
2023-02-28,33,30,32.0282430464
2023-03-01,36,31,12.575450112000006
2023-03-02,40,31,27.593026252800005
2023-03-03,3,32,-0.3265158143999969
2023-03-04,0,1,-26.4158574592
2023-03-05,1,0,-12.738972057600003
2023-03-06,38,40,28.102206566399996
2023-03-07,36,34,16.869654016000002
2023-03-08,43,48,3.4217539584000036
2023-03-09,38,37,25.301705625600004
2023-03-10,25,31,12.460595302400005
2023-03-11,5,1,-24.115833548799998
2023-03-12,2,1,-12.452392243200002
2023-03-13,4,18,35.8339192832
2023-03-14,7,25,24.720885248000002
2023-03-15,6,20,41.1433126912
2023-03-16,9,26,15.271834214400002
2023-03-17,3,21,-2.5232249855999953
2023-03-18,2,0,-26.9891913728
2023-03-19,3,1,-14.158955008000003
2023-03-20,37,36,41.363313049599995
2023-03-21,32,28,27.740619264000003
2023-03-22,34,41,2.528211353600007
2023-03-23,40,25,28.840079462400006
2023-03-24,21,0,4.491993292800004
2023-03-25,3,0,-29.5471357952
2023-03-26,2,0,-12.951016755200001
2023-03-27,40,23,36.9419428864
2023-03-28,37,38,38.146780160000006
2023-03-29,37,25,16.244646912000007
2023-03-30,45,43,9.134133452800008
2023-03-31,31,37,5.826892800000003
2023-04-01,2,1,-27.4588095488
2023-04-02,1,0,-13.103096115200003
2023-04-03,41,39,39.945254399999996
2023-04-04,37,26,24.916759040000002
2023-04-05,27,35,22.650288640000003
2023-04-06,41,19,3.4920484864000088
2023-04-07,2,12,-1.363875532799998
2023-04-08,1,0,-21.2791486464
2023-04-09,1,1,-11.701321113600002
2023-04-10,30,3,19.862598963199996
2023-04-11,55,33,28.977524224
2023-04-12,37,33,34.67272079360001
2023-04-13,42,47,13.06921830400001
2023-04-14,4,31,17.215804825600003
2023-04-15,1,2,-30.680181145599995
2023-04-16,1,0,-14.527708057600002
2023-04-17,54,29,46.316734566399994
2023-04-18,48,39,37.812184576
2023-04-19,50,30,24.240090726400005
2023-04-20,65,37,31.226223104000006
2023-04-21,49,37,-16.778291711999998
2023-04-22,5,2,-29.461844377600002
2023-04-23,5,0,-14.380429107200005
2023-04-24,40,36,31.845827686399996
2023-04-25,87,37,37.83886848
2023-04-26,67,35,20.367806464000004
2023-04-27,47,56,26.324388147200004
2023-04-28,27,53,26.6064830464
2023-04-29,2,1,-40.4586610688
2023-04-30,3,0,-18.1029115904
2023-05-01,22,13,35.155491839999996
2023-05-02,52,21,31.864411648
2023-05-03,52,33,41.336645939200004
2023-05-04,47,20,4.367298355200006
2023-05-05,62,27,19.752463872000007
2023-05-06,4,3,-38.16509583359999
2023-05-07,3,1,-16.206112972800003
2023-05-08,60,21,42.3147403264
2023-05-09,40,35,24.269293568000002
2023-05-10,35,41,15.638030131200004
2023-05-11,34,25,19.473260953600004
2023-05-12,30,27,22.507873075200003
2023-05-13,3,0,-38.020575027199996
2023-05-14,2,1,-15.957926809600004
2023-05-15,49,27,44.396908851199996
2023-05-16,46,27,47.4848566272
2023-05-17,45,22,21.784021913600007
2023-05-18,29,13,13.097562521600011
2023-05-19,2,0,2.713745100799997
2023-05-20,1,0,-32.8323416064
2023-05-21,2,0,-15.881057894400003
2023-05-22,34,33,22.249858559999996
2023-05-23,43,21,37.057224192
2023-05-24,40,22,22.77878958080001
2023-05-25,24,35,15.164587315200002
2023-05-26,41,33,13.9736270848
2023-05-27,3,0,-33.408473087999994
2023-05-28,2,0,-14.242764697600004
2023-05-29,13,8,5.2910815231999955
2023-05-30,36,29,56.110519296
2023-05-31,42,20,41.2503465984
2023-06-01,33,22,19.360179302400006
2023-06-02,34,27,0.9221288960000038
2023-06-03,2,1,-31.655510016
2023-06-04,2,0,-15.900532326400004
2023-06-05,35,22,44.42771456
2023-06-06,42,31,50.484157952000004
2023-06-07,49,22,6.567542988800007
2023-06-08,34,31,25.893713817600002
2023-06-09,32,14,10.780594176000001
2023-06-10,2,1,-33.9305747456
2023-06-11,1,2,-18.126054809600006
2023-06-12,35,23,49.2419006464
2023-06-13,52,18,49.275981312
2023-06-14,50,31,33.42248468480001
2023-06-15,63,28,23.59992033280001
2023-06-16,11,36,23.998160384000002
