,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2022-10-24,-0.23705600000000016,0,0
2022-10-25,0.8296063999999999,1,0
2022-10-26,5.46900992,0,10
2022-10-27,-1.6251714559999995,0,1
2022-10-28,-0.2710764543999997,0,1
2022-10-29,1.0136479744,4,0
2022-10-30,-1.2763501568,0,0
2022-10-31,-0.5482752000000002,0,0
2022-11-01,-0.3557017600000001,2,1
2022-11-02,1.7385057279999998,0,0
2022-11-03,0.9950298112000002,0,0
2022-11-04,-1.1962416127999997,0,0
2022-11-05,-0.43269498879999996,0,0
2022-11-06,-0.2543095808000001,1,0
2022-11-07,-0.16870031360000012,0,0
2022-11-08,-0.10583040000000005,0,0
2022-11-09,1.91733248,0,0
2022-11-10,3.132947456,0,0
2022-11-11,-1.8959077375999995,0,0
2022-11-12,-0.6335963136,0,0
2022-11-13,-0.3392000000000001,0,0
2022-11-14,-0.22630400000000023,0,1
2022-11-15,-0.1657344000000001,0,0
2022-11-16,1.8714060799999999,0,0
2022-11-17,3.0962063360000003,0,0
2022-11-18,-1.9262191615999997,0,0
2022-11-19,-0.6591926271999999,0,0
2022-11-20,-0.3392000000000001,0,0
2022-11-21,-0.22630400000000023,0,0
2022-11-22,-0.1657344000000001,0,0
2022-11-23,4.87140608,0,0
2022-11-24,-0.10379366399999945,0,0
2022-11-25,-1.4862191615999998,0,1
2022-11-26,-0.6111926272,0,0
2022-11-27,-0.33600000000000024,0,0
2022-11-28,-0.23296000000000017,0,0
2022-11-29,-0.17472000000000007,0,0
2022-11-30,4.8622208,0,0
2022-12-01,-2.1125196799999997,0,0
2022-12-02,-0.694302208,0,0
2022-12-03,-0.3455963136,0,0
2022-12-04,-0.20800000000000024,0,0
2022-12-05,-0.1497600000000001,0,0
2022-12-06,-0.11481600000000003,0,0
2022-12-07,6.9081472,0,0
2022-12-08,-1.8757785599999992,0,0
2022-12-09,2.696009216,0,0
2022-12-10,-2.1679999999999997,0,1
2022-12-11,-0.8352000000000004,0,0
2022-12-12,0.49273599999999984,0,1
2022-12-13,-0.7570944000000002,0,0
2022-12-14,2.60863488,0,0
2022-12-15,-0.4803133439999998,0,0
2022-12-16,1.0201749504000002,0,1
2022-12-17,-1.2153730047999998,0,0
2022-12-18,-0.5029558272000001,0,0
2022-12-19,-0.27782656000000006,0,0
2022-12-20,-0.19719731200000012,0,0
2022-12-21,0.8492229632,0,0
2022-12-22,4.490235904,0,0
2022-12-23,-2.2102913023999995,0,0
2022-12-24,-0.7071095808,0,0
2022-12-25,-0.38719631360000006,0,0
2022-12-26,-0.23795200000000025,0,0
2022-12-27,0.8272767999999999,0,0
2022-12-28,0.46681344000000013,0,0
2022-12-29,4.372991488,0,0
2022-12-30,-0.27257671679999973,0,0
2022-12-31,-1.5695907839999999,0,0
2023-01-01,-0.6315520000000001,0,0
2023-01-02,-0.38891520000000024,0,0
2023-01-03,-0.27429376000000016,0,1
2023-01-04,1.791753728,0,0
2023-01-05,0.03426693120000024,0,0
2023-01-06,2.2346821632,0,0
2023-01-07,-1.5423022079999997,0,0
2023-01-08,-0.5327963136,0,0
2023-01-09,-0.2935040000000001,0,0
2023-01-10,1.7993215999999999,0,1
2023-01-11,-0.9495603199999998,0,0
2023-01-12,-0.357571584,0,0
2023-01-13,-0.22386370559999996,0,0
2023-01-14,-0.14146529280000006,0,0
2023-01-15,-0.09829847040000003,0,0
2023-01-16,-0.04592640000000001,0,0
2023-01-17,-0.03674111999999999,0,0
2023-01-18,2.969688576,0,0
2023-01-19,2.7744036864000003,0,0
2023-01-20,-0.9599999999999995,0,0
2023-01-21,-1.0719999999999998,0,0
2023-01-22,-0.5008000000000001,0,1
2023-01-23,-0.32025600000000026,0,3
2023-01-24,-0.23029760000000013,0,0
2023-01-25,0.82308352,0,0
2023-01-26,1.4580874240000001,0,1
2023-01-27,0.9626121216000003,0,0
2023-01-28,-1.1703483391999998,0,0
2023-01-29,-0.42239815680000004,0,0
2023-01-30,-0.24115200000000012,0,0
2023-01-31,-0.16606720000000014,0,0
2023-02-01,2.87579904,0,0
2023-02-02,3.702176768,0,0
2023-02-03,1.5601492992000003,0,0
