,rust-lang/rust,JetBrains/kotlin,apple/swift
2012-07-15,5,1,-2.6496288768000005
2012-07-16,10,5,-0.9040601088000001
2012-07-17,14,0,4.458613248
2012-07-18,28,21,-1.3903716352000006
2012-07-19,19,47,7.9410403328
2012-07-20,15,94,1.3517796351999989
2012-07-21,3,3,-6.3546228736
2012-07-22,0,5,11.2590368768
2012-07-23,20,53,7.2610217984
2012-07-24,43,11,7.244582399999999
2012-07-25,49,33,0.5241113599999974
2012-07-26,26,23,-5.939287040000002
2012-07-27,23,18,9.8775648256
2012-07-28,14,4,-11.869529088
2012-07-29,1,3,-5.1942424576
2012-07-30,18,13,4.514499583999999
2012-07-31,35,36,-3.849619865600001
2012-08-01,30,17,-1.1621317632000006
2012-08-02,20,15,4.413587763199999
2012-08-03,54,10,33.746718208
2012-08-04,8,15,-19.850627686400003
2012-08-05,4,0,-3.4759003136000004
2012-08-06,21,28,1.7941113856
2012-08-07,43,9,4.717920256
2012-08-08,31,20,-6.722404454400001
2012-08-09,27,29,2.2481442816
2012-08-10,22,7,0.7077052415999994
2012-08-11,13,0,-1.4051753984000008
2012-08-12,6,0,-5.1889271808
2012-08-13,24,5,7.305577984
2012-08-14,48,76,1.5942599679999994
2012-08-15,34,18,3.4439005183999996
2012-08-16,26,37,10.080949657599998
2012-08-17,28,33,0.9774572543999991
2012-08-18,10,0,-9.790956134400002
2012-08-19,0,0,-4.6687970304
2012-08-20,10,8,2.849839104000001
2012-08-21,28,31,0.6423173119999994
2012-08-22,27,26,6.422838579199999
2012-08-23,41,34,8.835653222399998
2012-08-24,34,24,16.546386432
2012-08-25,31,0,-14.6618930176
2012-08-26,14,0,8.260674355199999
2012-08-27,28,24,-6.5319353344
2012-08-28,19,20,-0.2394521600000008
2012-08-29,23,27,0.022577663999999054
2012-08-30,20,34,-6.722175488
2012-08-31,51,24,-3.3762936832000006
2012-09-01,12,0,-1.8035323904000005
2012-09-02,13,0,-1.1532049408000005
2012-09-03,14,1,7.3322979327999995
2012-09-04,35,11,2.7227892735999992
2012-09-05,24,57,-6.022396006400001
2012-09-06,21,12,0.4283352063999999
2012-09-07,27,43,-1.9951568896
2012-09-08,29,1,-0.7000860671999998
2012-09-09,6,0,-0.4288256000000001
2012-09-10,28,10,-0.30464512000000005
2012-09-11,14,16,1.7681776639999998
2012-09-12,28,13,7.615750246399999
2012-09-13,29,85,5.266132582399999
2012-09-14,13,19,-6.812680704000002
2012-09-15,19,7,-2.5082041343999997
2012-09-16,8,2,-1.0840959999999997
2012-09-17,5,33,2.3352576000000003
2012-09-18,25,33,8.73842432
2012-09-19,29,19,3.6958351359999986
2012-09-20,43,39,-3.3570023424000013
2012-09-21,6,15,2.7600120831999995
2012-09-22,15,1,-4.5580070912
2012-09-23,11,13,-3.1196956672
2012-09-24,13,8,-0.33041151999999996
2012-09-25,27,4,-1.4525480960000001
2012-09-26,49,12,-0.7351899136000003
2012-09-27,44,27,3.4923685888
2012-09-28,47,6,-1.7157384192000005
2012-09-29,21,0,-1.2539320320000003
2012-09-30,5,6,-0.4494524416000001
2012-10-01,23,11,12.7796704256
2012-10-02,35,2,1.0646676479999995
2012-10-03,15,24,-2.0583708672000007
2012-10-04,49,6,1.1235430399999995
2012-10-05,32,17,1.8049131519999992
2012-10-06,25,23,-4.843772620800001
2012-10-07,13,0,-2.3759516672
2012-10-08,21,29,7.853332480000001
2012-10-09,11,7,-0.16281753600000037
2012-10-10,18,6,4.757715558399999
2012-10-11,76,4,7.430092595199999
2012-10-12,41,2,1.9498142719999976
2012-10-13,24,0,-9.7035523072
2012-10-14,1,3,-2.6937396224
2012-10-15,10,28,-1.4058422272
2012-10-16,4,22,8.106312192
2012-10-17,25,20,-7.025767116800001
2012-10-18,22,12,1.1214368767999998
2012-10-19,10,16,10.158640127999998
2012-10-20,3,2,-2.8104842239999996
2012-10-21,19,0,-5.707027865600001
2012-10-22,18,2,-1.7481198592
2012-10-23,32,9,9.0105591808
2012-10-24,12,4,-2.6607951872000006
