,highcharts/highcharts,plotly/plotly.js,d3/d3
2014-02-11,12,0.5865774644515651,1
2014-02-12,4,4.778237452595315,1
2014-02-13,4,4.49885620187969,0
2014-02-14,1,12.528508406834376,0
2014-02-15,0,-0.2605228379765627,0
2014-02-16,0,-1.3744667892593747,0
2014-02-17,5,3.1630709509921884,0
2014-02-18,3,-0.9956975431953111,4
2014-02-19,4,2.3799707689328136,0
2014-02-20,5,7.228728564334376,0
2014-02-21,15,12.692911234190625,0
2014-02-22,2,-1.1165038899343758,0
2014-02-23,1,3.790643888465625,0
2014-02-24,6,10.781177259928125,0
2014-02-25,8,10.0505317104375,0
2014-02-26,1,8.69903040110625,0
2014-02-27,9,6.596848065953125,2
2014-02-28,14,8.664249428267187,0
2014-03-01,0,2.4620980387437505,0
2014-03-02,0,-1.012753379768749,0
2014-03-03,5,13.65094432738594,0
2014-03-04,10,1.5054412386328133,0
2014-03-05,5,1.1598084921312515,0
2014-03-06,11,7.540590672646876,0
2014-03-07,1,0.1586028337140637,0
2014-03-08,1,0.7356271402546888,0
2014-03-09,7,3.9782926732765636,1
2014-03-10,13,7.8480711805546886,0
2014-03-11,8,-1.6041601202703122,0
2014-03-12,8,8.062946258648438,0
2014-03-13,8,4.519486359559375,2
2014-03-14,7,5.568630957751563,0
2014-03-15,0,-1.5542745038546875,0
2014-03-16,1,-0.881823424853124,0
2014-03-17,11,1.3669917136000012,2
2014-03-18,7,-0.6879051923203112,0
2014-03-19,2,-0.45722226407343647,0
2014-03-20,4,0.6981889178593756,2
2014-03-21,0,0.6480195753328131,1
2014-03-22,3,6.705395193675001,2
2014-03-23,0,0.14138400724843703,0
2014-03-24,8,-0.4863498925000002,23
2014-03-25,5,-0.30041587603125003,1
2014-03-26,5,-0.21921396757187436,0
2014-03-27,6,0.8422645412500005,0
2014-03-28,9,2.7710871532343755,0
2014-03-29,0,1.5462149481984375,0
2014-03-30,0,-0.44997073989531255,0
2014-03-31,0,1.7354772192328127,0
2014-04-01,5,0.6564968974640626,0
2014-04-02,4,1.7071627375000002,0
2014-04-03,14,2.61518676625,0
2014-04-04,2,3.471001573234375,1
2014-04-05,0,-0.7041871840828127,0
2014-04-06,3,1.6064010413609378,4
2014-04-07,16,1.5396318899281252,0
2014-04-08,10,0.5224454027187504,3
2014-04-09,7,-0.39950644808749974,0
2014-04-10,5,15.743210382682813,2
2014-04-11,15,3.208064070881249,1
2014-04-12,4,12.637310165329687,0
2014-04-13,2,-0.1792235776437514,0
2014-04-14,9,4.642413968968751,4
2014-04-15,3,-0.4972085273531246,0
2014-04-16,1,0.9661830319125018,0
2014-04-17,0,7.0653324449640635,0
2014-04-18,0,21.5324618355,0
2014-04-19,0,7.801778021846874,0
2014-04-20,0,-2.6975518623984387,0
2014-04-21,0,14.435521748465625,0
2014-04-22,16,5.370703195584376,1
2014-04-23,12,19.69458232926875,0
2014-04-24,13,12.387704413932813,0
2014-04-25,6,11.358118639553126,0
2014-04-26,0,2.320539321603125,0
2014-04-27,0,-0.8235262514984356,0
2014-04-28,11,17.04214888210469,0
2014-04-29,4,5.739787646750002,0
2014-04-30,19,13.156692087800002,0
2014-05-01,0,18.66285146586875,0
2014-05-02,2,9.815433717209375,0
2014-05-03,1,-3.708973288309375,0
2014-05-04,0,0.8116909538671897,0
2014-05-05,3,11.189788917503128,0
2014-05-06,11,3.4121253813812524,0
2014-05-07,10,14.791109069676564,0
2014-05-08,11,15.940500326426562,0
2014-05-09,5,11.34684097558125,0
2014-05-10,0,4.4687900744906255,1
2014-05-11,0,-2.786434186753124,0
2014-05-12,12,6.294032684703128,0
2014-05-13,8,14.915943233189065,1
2014-05-14,15,22.927682715189064,0
2014-05-15,9,6.656801147268749,0
2014-05-16,4,5.4839200158421875,0
2014-05-17,1,4.9919510365828135,0
2014-05-18,0,-2.6375351421640603,5
2014-05-19,10,-1.6425176027874973,8
2014-05-20,4,9.801401584625003,0
2014-05-21,4,3.926578868446877,0
2014-05-22,2,6.144020597232814,1
2014-05-23,1,11.087739024643751,1
2014-05-24,0,4.674460734964063,0
2014-05-25,0,-1.9663954269484374,0
2014-05-26,3,3.8405265422125012,0
2014-05-27,5,5.701950766250001,0
2014-05-28,5,10.443735029328126,1
2014-05-29,3,3.8200297615109378,0
2014-05-30,6,4.193895741909375,1
2014-05-31,0,0.29354398675937543,0
2014-06-01,0,-1.2437405865765612,0
2014-06-02,5,2.215229463498439,0
2014-06-03,3,11.138882911171876,0
2014-06-04,5,7.205905616210938,0
2014-06-05,8,4.123120523560937,0
2014-06-06,6,16.339930188975,1
2014-06-07,0,-0.7527906358093759,2
2014-06-08,0,-0.6693792787468742,2
2014-06-09,1,9.819951306178126,0
2014-06-10,8,8.049087093453126,0
2014-06-11,3,9.826241844954687,0
2014-06-12,13,19.493224549928126,0
2014-06-13,10,-0.6274143584171883,0
2014-06-14,0,-2.2738814044968745,0
2014-06-15,0,1.502690694571877,0
2014-06-16,3,2.6865071981625026,0
2014-06-17,5,5.665912591792189,0
2014-06-18,1,15.375390611948438,0
2014-06-19,0,4.326656863453125,0
2014-06-20,0,1.859929544475,0
2014-06-21,0,0.33842976766250055,0
2014-06-22,0,-1.154705446357811,0
2014-06-23,4,7.212163938453127,0
2014-06-24,3,0.5826528540796885,2
2014-06-25,3,7.952907474996876,0
2014-06-26,6,10.398009287232812,0
2014-06-27,2,1.8922425057796874,1
2014-06-28,0,7.513988387685938,0
2014-06-29,0,0.201775863825,0
2014-06-30,8,7.756127949928127,7
2014-07-01,6,3.2602569908750008,1
2014-07-02,0,4.443455637431251,0
2014-07-03,1,7.4434393227875,0
2014-07-04,1,3.116061673489063,0
2014-07-05,0,-0.5895900237437492,0
2014-07-06,0,-1.0464144822843742,0
2014-07-07,7,2.269457372395314,1
2014-07-08,0,8.185783671537502,0
2014-07-09,1,5.555302222098438,0
2014-07-10,1,4.528325780476562,0
2014-07-11,3,0.5613740738937498,0
2014-07-12,0,0.9616623158484381,5
2014-07-13,0,0.1582631368046884,0
2014-07-14,0,3.3560696962140635,0
2014-07-15,0,5.139292207203126,0
2014-07-16,1,7.850002176501563,0
2014-07-17,0,1.4276499335671873,3
2014-07-18,0,3.8605199866546878,0
2014-07-19,0,1.815178853753125,0
2014-07-20,0,0.007160922646875734,0
2014-07-21,0,9.265748871912502,0
2014-07-22,1,8.486144855401562,0
2014-07-23,2,13.1485941580125,0
2014-07-24,0,6.460388166393749,0
2014-07-25,0,0.7180091193796874,0
2014-07-26,0,-0.6197737239359367,0
2014-07-27,0,-0.17601802297656044,0
2014-07-28,1,0.06446429187656455,0
2014-07-29,0,0.20701261730781428,1
2014-07-30,0,-0.7070479617656236,0
2014-07-31,1,6.522878225656251,0
2014-08-01,7,3.9761800435703125,0
2014-08-02,0,5.019670429379687,0
2014-08-03,0,0.9003626706265617,0
2014-08-04,7,1.2006396256984377,0
2014-08-05,4,1.2938093881984378,2
2014-08-06,5,0.3383399969484382,1
2014-08-07,2,9.463109711214063,0
2014-08-08,1,0.6230227526406249,0
2014-08-09,0,0.048421764670312784,0
2014-08-10,0,-0.6758115582734373,0
2014-08-11,6,3.557217091253126,0
2014-08-12,3,1.2977237638968755,1
2014-08-13,4,5.388455847646876,1
2014-08-14,4,13.0162562444125,0
2014-08-15,7,1.0509186123078118,2
2014-08-16,1,2.678989152359375,0
2014-08-17,0,-1.1692225680875001,0
2014-08-18,5,0.26942683746406393,0
2014-08-19,6,4.358945280437501,0
