,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2020-08-06,14.269629685476563,0,0
2020-08-07,9.707617320476562,0,0
2020-08-08,2.859555655039063,0,0
2020-08-09,-2.4134385844421864,0,0
2020-08-10,15.47825291636094,0,0
2020-08-11,13.162734333521875,0,0
2020-08-12,3.728209158156251,0,0
2020-08-13,9.407866270039063,0,0
2020-08-14,8.199498674589064,0,0
2020-08-15,6.222184510185938,0,0
2020-08-16,-0.5298546735609362,0,0
2020-08-17,6.271154598534377,0,0
2020-08-18,13.000516951234376,0,0
2020-08-19,8.188279724889064,0,0
2020-08-20,9.331357925815626,0,0
2020-08-21,4.265866004810937,0,0
2020-08-22,3.675423535146876,0,0
2020-08-23,1.9679755624640638,3,0
2020-08-24,7.324359693645315,0,0
2020-08-25,8.006429709553126,0,0
2020-08-26,17.753517425728127,0,1
2020-08-27,14.657656826289063,1,0
2020-08-28,12.400735417167187,1,0
2020-08-29,4.381349600959375,1,0
2020-08-30,3.1135477566546887,0,0
2020-08-31,12.569610241471878,0,0
2020-09-01,12.887411060215626,1,0
2020-09-02,3.500769047020314,0,0
2020-09-03,17.213957481828125,0,0
2020-09-04,17.199360075,0,0
2020-09-05,18.756154751103125,0,0
2020-09-06,-2.6924260097,0,0
2020-09-07,7.138834407868752,0,0
2020-09-08,19.034701462050002,0,0
2020-09-09,14.85933882996094,0,0
2020-09-10,8.713353730815626,1,1
2020-09-11,17.19328936318594,0,0
2020-09-12,-3.4926331627968743,0,0
2020-09-13,1.2870893798859404,0,0
2020-09-14,6.76885777814219,0,0
2020-09-15,12.641449359771878,0,0
2020-09-16,9.945507947046877,0,0
2020-09-17,11.882540233162501,0,0
2020-09-18,5.706974598864063,0,0
2020-09-19,3.225650347454689,0,0
2020-09-20,1.708359136229689,1,0
2020-09-21,4.210099191651564,0,0
2020-09-22,12.164064416465628,0,0
2020-09-23,9.386211643192189,2,0
2020-09-24,12.284415086507813,2,0
2020-09-25,6.941032880548438,1,0
2020-09-26,0.26571666732031307,0,0
2020-09-27,3.092569089082814,0,0
2020-09-28,10.237164780221876,0,0
2020-09-29,9.6368625642625,1,0
2020-09-30,12.379440960065626,0,0
2020-10-01,6.935907989559375,0,0
2020-10-02,8.259732324334376,1,0
2020-10-03,7.260391930554688,0,0
2020-10-04,-1.6094445956562486,1,0
2020-10-05,2.324017122314064,0,0
2020-10-06,9.394176438632815,0,0
2020-10-07,3.7939591946312516,1,0
2020-10-08,13.109139974334376,0,0
