,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2018-05-31,29,0.0,1
2018-06-01,17,0.0,0
2018-06-02,0,0.0,0
2018-06-03,3,0.0,0
2018-06-04,49,0.0,0
2018-06-05,28,0.0,0
2018-06-06,42,0.0,0
2018-06-07,14,0.0,0
2018-06-08,8,0.0,0
2018-06-09,0,4.0,1
2018-06-10,0,-1.4000000000000004,2
2018-06-11,0,-0.08000000000000007,0
2018-06-12,5,-0.9440000000000001,0
2018-06-13,28,-0.3103999999999999,1
2018-06-14,20,-0.180992,6
2018-06-15,7,0.8765312,0
2018-06-16,0,-0.6913049600000001,0
2018-06-17,1,0.808957952,1
2018-06-18,12,8.2867259392,2
2018-06-19,25,-1.5724424192000006,1
2018-06-20,18,-3.5673500672000005,1
2018-06-21,31,-0.03435519999999981,4
2018-06-22,1,-1.1621734399999997,2
2018-06-23,0,-0.4871275519999999,4
2018-06-24,0,-0.3196163072000001,2
2018-06-25,15,-0.2272901120000001,3
2018-06-26,2,-0.17611499520000012,1
2018-06-27,5,0.8653647871999999,5
2018-06-28,9,-0.6469337088000001,1
2018-06-29,0,-0.130340352,0
2018-06-30,0,-0.0645020672,0
2018-07-01,0,-0.03359999999999997,0
2018-07-02,8,1.977152,3
2018-07-03,74,6.7832448,3
2018-07-04,9,-4.052925440000001,0
2018-07-05,1,-1.682340352,0
2018-07-06,4,-0.6437020671999999,0
2018-07-07,0,-0.37049599999999977,0
2018-07-08,0,-0.24989440000000002,0
2018-07-09,27,16.81725952,0
2018-07-10,25,3.6591605759999997,0
2018-07-11,23,-10.552652390400002,0
2018-07-12,9,-2.7103568896,1
2018-07-13,18,-1.3637020671999993,0
2018-07-14,1,-0.8588159999999996,0
2018-07-15,0,-0.6047104000000002,0
2018-07-16,24,2.5456947199999997,0
2018-07-17,34,0.8432578559999993,0
2018-07-18,16,-2.4493000704000005,0
2018-07-19,21,-0.6470289408000001,0
2018-07-20,31,-0.26879999999999993,0
2018-07-21,0,-0.16934399999999994,0
2018-07-22,0,-0.11880960000000003,0
2018-07-23,2,-0.08904192000000005,0
2018-07-24,35,-0.06979737600000005,0
2018-07-25,27,-0.056527257600000054,0
2018-07-26,45,-0.025506201600000028,0
2018-07-27,14,7.0,2
2018-07-28,11,-4.200000000000001,0
2018-07-29,7,0.16000000000000003,0
2018-07-30,10,1.008,5
2018-07-31,20,-0.5551999999999999,1
2018-08-01,13,-1.055936,0
2018-08-02,16,-0.3828864,1
2018-08-03,14,3.76347392,1
2018-08-04,2,-2.5684336640000005,0
2018-08-05,1,-0.6087983104000001,0
2018-08-06,8,-0.276946432,0
2018-08-07,7,-0.17650821119999993,0
2018-08-08,21,1.8812635136,0
2018-08-09,11,-0.2755228672000003,0
2018-08-10,9,3.10829824,0
2018-08-11,0,-2.6733614080000003,0
2018-08-12,0,-0.6372082687999999,0
2018-08-13,23,6.696704,0
2018-08-14,13,-4.390758400000001,0
2018-08-15,16,8.02600192,1
2018-08-16,46,0.10737305599999925,0
2018-08-17,48,-3.9942462464000004,1
2018-08-18,3,-2.0337994752000004,0
2018-08-19,6,-0.9096946687999997,0
2018-08-20,16,1.4462899200000001,0
2018-08-21,14,-1.5938672640000002,0
2018-08-22,14,1.4607773695999997,1
2018-08-23,16,1.5006289919999998,2
2018-08-24,20,0.7413138431999995,1
2018-08-25,0,-2.3790487552000004,0
2018-08-26,2,-0.6372124671999999,1
2018-08-27,16,1.6596531200000002,3
2018-08-28,19,-1.4235351040000002,4
2018-08-29,3,-0.40166461440000006,2
2018-08-30,15,0.7782773759999999,0
2018-08-31,9,1.2459984895999998,0
2018-09-01,0,-1.4222232576000002,0
2018-09-02,4,-0.35501660160000004,0
2018-09-03,19,2.82854912,0
2018-09-04,24,2.0892712959999997,0
2018-09-05,36,0.1605446655999998,0
2018-09-06,22,-1.4944358400000004,4
2018-09-07,37,-1.320991232,1
2018-09-08,1,-0.5201267712,0
2018-09-09,7,-0.31546173439999997,0
2018-09-10,63,-0.20794112000000003,0
2018-09-11,36,-0.1558364160000001,1
2018-09-12,34,3.8776008704,0
2018-09-13,2,0.5220452351999993,0
2018-09-14,7,-1.3158465536000001,1
2018-09-15,0,12.8074979328,7
2018-09-16,4,-8.822400000000002,0
2018-09-17,19,0.0718080000000001,0
2018-09-18,9,-2.1531648,1
2018-09-19,20,-0.8352153599999996,0
2018-09-20,39,-0.5287649280000001,0
2018-09-21,34,-0.37972756480000014,0
2018-09-22,15,3.7375012863999997,0
2018-09-23,8,-2.5867773952000004,3
2018-09-24,15,0.37512017919999985,0
2018-09-25,6,3.155319296,3
2018-09-26,6,-2.6714041344000004,0
2018-09-27,6,0.37260800000000005,4
2018-09-28,5,-0.9246208,1
2018-09-29,0,-0.3289497599999999,0
2018-09-30,2,-0.20550860800000004,0
2018-10-01,26,3.8524454912,1
2018-10-02,18,-0.48489011200000043,4
2018-10-03,19,-0.7466186752000001,10
2018-10-04,24,-1.1109337088000002,0
2018-10-05,54,0.6232596480000001,1
2018-10-06,11,-0.8230940672,0
2018-10-07,0,0.7336832,0
2018-10-08,25,7.23593984,0
2018-10-09,35,-3.0375674880000005,0
2018-10-10,46,5.6935375872,0
2018-10-11,29,-5.5656996864,3
2018-10-12,25,4.6149244928,0
2018-10-13,12,0.674920448,0
2018-10-14,18,-4.189965107200001,1
2018-10-15,69,-1.266038272,0
2018-10-16,57,0.2672826368000001,0
2018-10-17,15,3.9028112384,2
2018-10-18,13,-3.4344981504000005,0
2018-10-19,13,-0.8853451776000001,0
2018-10-20,0,-0.440269312,0
2018-10-21,0,-0.29356216319999995,0
2018-10-22,8,-0.17350553600000007,0
2018-10-23,13,0.90329856,0
2018-10-24,9,1.325032448,0
2018-10-25,35,-1.3802038272000003,0
2018-10-26,15,-0.338510336,0
2018-10-27,1,-0.14559999999999995,1
2018-10-28,4,-0.09004799999999995,0
2018-10-29,51,-0.06245120000000001,0
2018-10-30,8,1.95356416,0
2018-10-31,2,-1.2361912320000001,0
2018-11-01,20,-0.2691827712,0
2018-11-02,4,-0.1290041344,0
2018-11-03,3,5.9328,0
2018-11-04,7,-3.6456960000000005,0
2018-11-05,2,-0.7535104,0
2018-11-06,3,-0.36185088,0
2018-11-07,6,0.7777192960000001,0
2018-11-08,2,-0.7540921344000001,0
2018-11-09,2,-0.22053120000000004,1
2018-11-10,5,-0.13355264000000006,2
2018-11-11,5,-0.09564211200000003,2
2018-11-12,2,1.9261395968,0
2018-11-13,17,1.7832447999999999,3
2018-11-14,6,-2.05292544,0
2018-11-15,26,3.517659648,5
2018-11-16,4,1.3562979327999996,3
2018-11-17,0,-3.0264960000000003,0
2018-11-18,0,-0.8060544,1
2018-11-19,2,15.56548352,0
2018-11-20,4,8.114750975999998,1
2018-11-21,2,-3.9264379904,0
2018-11-22,48,2.3997712383999996,0
2018-11-23,25,1.6813368319999995,0
2018-11-24,0,-9.469737676800001,0
2018-11-25,0,-2.9517554687999996,0
2018-11-26,26,16.30036736,1
2018-11-27,51,-8.969828352,1
2018-11-28,21,2.165876428799999,0
2018-11-29,37,5.859412582399999,0
2018-11-30,16,0.854757683199999,0
2018-12-01,0,-4.551330611200001,0
2018-12-02,0,5.029139660799999,0
2018-12-03,44,21.11394048,1
2018-12-04,2,17.223634943999997,1
2018-12-05,10,9.921521254399998,1
2018-12-06,7,28.8880620544,0
