,pallets/flask,expressjs/express,django/django
2011-12-11,0,0,10.0
2011-12-12,0,0,0.0
2011-12-13,0,0,0.0
2011-12-14,0,0,1.0
2011-12-15,0,3,3.0
2011-12-16,0,2,7.0
2011-12-17,0,9,18.0
2011-12-18,0,1,0.0
2011-12-19,0,0,8.0
2011-12-20,0,5,1.0
2011-12-21,0,1,2.0
2011-12-22,0,0,11.0
2011-12-23,0,0,14.0
2011-12-24,0,0,7.0
2011-12-25,0,0,4.0
2011-12-26,0,0,0.0
2011-12-27,2,0,6.0
2011-12-28,0,7,1.0
2011-12-29,0,0,6.0
2011-12-30,0,3,22.0
2011-12-31,0,0,3.0
2012-01-01,0,0,4.0
2012-01-02,0,1,10.0
2012-01-03,0,0,4.0
2012-01-04,2,0,2.0
2012-01-05,0,0,1.0
2012-01-06,0,2,1.0
2012-01-07,6,0,11.0
2012-01-08,0,0,9.0
2012-01-09,1,2,1.0
2012-01-10,0,0,1.0
2012-01-11,0,0,1.0
2012-01-12,0,0,2.0
2012-01-13,0,0,1.0
2012-01-14,0,0,1.0
2012-01-15,0,0,5.0
2012-01-16,10,0,0.0
2012-01-17,18,5,0.0
2012-01-18,3,0,0.0
2012-01-19,0,2,3.0
2012-01-20,0,0,1.0
2012-01-21,0,0,3.0
2012-01-22,0,0,1.0
2012-01-23,3,0,1.0
2012-01-24,3,0,4.0
2012-01-25,0,0,2.0
2012-01-26,1,0,0.0
2012-01-27,0,0,2.0
2012-01-28,0,0,7.0
2012-01-29,0,0,4.0
2012-01-30,0,0,1.0
2012-01-31,3,0,3.0
2012-02-01,3,1,3.0
2012-02-02,0,0,2.0
2012-02-03,2,0,9.0
2012-02-04,2,0,21.0
2012-02-05,0,0,9.0
2012-02-06,0,2,1.0
2012-02-07,7,15,1.0
2012-02-08,0,2,0.0
2012-02-09,0,5,22.0
2012-02-10,0,0,10.0
2012-02-11,0,0,15.0
2012-02-12,0,2,6.0
2012-02-13,0,0,2.0
2012-02-14,1,0,2.0
2012-02-15,0,0,1.0
2012-02-16,0,1,13.0
2012-02-17,0,1,5.0
2012-02-18,0,52,6.0
2012-02-19,0,3,7.0
2012-02-20,0,0,2.0
2012-02-21,0,2,3.0
2012-02-22,0,1,7.0
2012-02-23,0,7,3.0
2012-02-24,2,3,3.0
2012-02-25,2,0,0.0
2012-02-26,1,4,4.0
2012-02-27,0,0,7.0
2012-02-28,0,1,3.0
2012-02-29,0,0,3.0
2012-03-01,4,2,7.0
2012-03-02,1,0,20.0
2012-03-03,0,0,14.0
2012-03-04,0,0,7.0
2012-03-05,0,0,18.0
2012-03-06,0,0,0.0
2012-03-07,0,0,0.0
2012-03-08,2,0,0.0
2012-03-09,0,0,1.0
2012-03-10,0,0,4.0
2012-03-11,0,0,2.0
2012-03-12,22,0,12.0
2012-03-13,9,0,15.0
2012-03-14,4,0,27.0
2012-03-15,0,0,7.0
2012-03-16,2,0,6.0
2012-03-17,0,0,9.0
2012-03-18,1,0,1.0
2012-03-19,0,0,3.0
2012-03-20,2,0,2.0
2012-03-21,2,0,2.0
2012-03-22,0,0,4.0
2012-03-23,0,0,25.0
2012-03-24,1,12,0.0
2012-03-25,0,0,1.0
2012-03-26,0,0,2.0
2012-03-27,2,2,1.0
2012-03-28,4,0,1.0
2012-03-29,0,7,6.0
2012-03-30,0,2,5.0
2012-03-31,2,0,25.0
2012-04-01,11,0,3.0
2012-04-02,1,15,2.0
2012-04-03,0,4,0.0
2012-04-04,3,2,0.0
2012-04-05,0,2,3.0
